Tickers,Names,Share Price,Weight,Stand Along Risk,Risk Contribution,Countries,Sectors
AAPL,Apple,115.82,9.71%,25.0272537,15.47293165,US,Tech
GOOGL,Google,792.45,9.87%,24.64003693,16.59467814,US,Tech
MSFT,Microsoft,62.14,10.59%,22.95308244,15.88154069,US,Tech
AMZN,Amazon,749.87,8%,30.39986498,16.28474375,US,Tech
MS,Morgan Stanley,42.25,8.80%,27.38570335,22.25529678,US,Finance
GS,Goldman Sachs,239.45,10.49%,23.17745096,18.86871284,US,Finance
JPM,JPMorgan Chase,85.8152,11.43%,21.2663508,17.50297821,US,Finance
BLK,BlackRock,380.54,11.28%,21.55070072,17.97641897,US,Finance
MYL,Mylan,38.15,6.49%,37.48231195,17.92652905,US,Health Care
PFE,Pfizer,32.48,13.26%,18.32884252,11.31054741,US,Health Care
